workerid,firstutterance,predicate,noun,response,nounclass,slide_number,class,test1,dialect,test3,lived,language,enjoyment,gender,age,describe,comments,years,proficiency,otherDialect,asses,test2,education,dominantLanguage,homeLanguage,OS,screenH,screenW,Browser,hitid,hittypeid,title,description,keywords,reward,creationtime,assignments,numavailable,numpending,numcomplete,hitstatus,reviewstatus,annotation,assignmentduration,autoapprovaldelay,hitlifetime,viewhit,assignmentid,workerid,assignmentstatus,autoapprovaltime,assignmentaccepttime,assignmentsubmittime,assignmentapprovaltime,assignmentrejecttime,deadline,feedback,reject,Answer.catch_trials,Answer.time_in_minutes
0,,blue,cheese,0.95,food,3,color,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,ليست,hard,banana,0.21,food,4,texture,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,ليست,round,couch,1,furniture,5,shape,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,,smooth,banana,0.11,food,6,texture,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,,bad,fan,0.07,furniture,7,quality,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,,rotten,desk,0.16,furniture,8,age,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,,metal,apple,0.27,food,9,material,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,ليست,square,carrot,0.96,food,10,shape,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,ليست,red,fan,0.92,furniture,11,color,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
0,,huge,carrot,0.07,food,12,size,correct,egyptian,correct,both,العربيه,2,Male,34,arabic-arabic,,5+,superior,,Yes,correct,3,arabic,arabic,Windows,768,1366,Chrome,3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3FJMTJX97OKWRZTTAWFV40863PH6A9,حوارات عربية ,الإجابة عن أسئلة حول عبارات وصفية.,عربية لغة علم جامعة arabic تجربة,$0.50,Mon Mar 11 15:26:26 PDT 2019,9,6,0,2,Assignable,NotReviewed,1 cond,1800,60000,Wed Apr 10 15:26:26 PDT 2019,https://requester.mturk.com/mturk/manageHIT?HITId=3XH7ZM9YX2PRI88QGMZCYLVSAQ09RO,3E337GFOLA4O541ZSNT7618TPJBNGV,0,Approved,Wed Mar 13 03:48:21 PDT 2019,Tue Mar 12 11:00:48 PDT 2019,Tue Mar 12 11:08:21 PDT 2019,Wed Mar 13 03:48:34 PDT 2019,,,,,[],7.446916666666667
